OID,GISJOIN,AREA,YEAR,AREA11,AREA12,AREA21,AREA22,AREA23,AREA24,AREA31,AREA41,AREA42,AREA43,AREA52,AREA71,AREA81,AREA82,AREA90,AREA95,PROP11,PROP12,PROP21,PROP22,PROP23,PROP24,PROP31,PROP41,PROP42,PROP43,PROP52,PROP71,PROP81,PROP82,PROP90,PROP95
-1,G2400210,1728602100.000000000000000,2011,16857900.000000000000000,,159171300.000000000000000,76019400.000000000000000,25699500.000000000000000,7569900.000000000000000,5983200.000000000000000,507621600.000000000000000,25097400.000000000000000,19543500.000000000000000,17343000.000000000000000,6092100.000000000000000,441512100.000000000000000,394596000.000000000000000,23171400.000000000000000,2323800.000000000000000,0.009752331088803,,0.092080936382063,0.043977384963260,0.014867215537919,0.004379203288021,0.003461293955387,0.293660177781804,0.014518899404322,0.011305956414145,0.010032962472972,0.003524292837548,0.255415691095134,0.228274627226243,0.013404704298346,0.001344323254033
-1,G2400230,1698336000.000000000000000,2011,30484800.000000000000000,,88668900.000000000000000,8982900.000000000000000,4413600.000000000000000,988200.000000000000000,30297600.000000000000000,1131216300.000000000000000,93031200.000000000000000,22671900.000000000000000,1852200.000000000000000,4968000.000000000000000,241995600.000000000000000,28248300.000000000000000,6374700.000000000000000,4141800.000000000000000,0.017949804985586,,0.052209280142445,0.005289236052230,0.002598779040190,0.000581863659488,0.017839579447177,0.666073321180261,0.054777853145667,0.013349478548414,0.001090596913685,0.002925216211633,0.142489825334916,0.016632927759878,0.003753497541123,0.002438740037307
-1,G2400250,1152870300.000000000000000,2011,19300500.000000000000000,,167364900.000000000000000,58390200.000000000000000,25198200.000000000000000,8478900.000000000000000,2377800.000000000000000,374184900.000000000000000,5426100.000000000000000,19985400.000000000000000,29945700.000000000000000,5382000.000000000000000,179791200.000000000000000,169788600.000000000000000,53955900.000000000000000,33300000.000000000000000,0.016741258752177,,0.145172358070114,0.050647674764455,0.021856925275983,0.007354600079471,0.002062504342423,0.324568080208155,0.004706600560358,0.017335341191459,0.025974908018708,0.004668348208814,0.155950933942873,0.147274676084552,0.046801361783715,0.028884428716743
-1,G2400270,656281800.000000000000000,2011,3103200.000000000000000,,122568300.000000000000000,62243100.000000000000000,30203100.000000000000000,9251100.000000000000000,1998000.000000000000000,195601500.000000000000000,4606200.000000000000000,10729800.000000000000000,9063900.000000000000000,2318400.000000000000000,111849300.000000000000000,78806700.000000000000000,13176900.000000000000000,762300.000000000000000,0.004728456586789,,0.186761692919109,0.094842032797496,0.046021541356167,0.014096231222624,0.003044423904487,0.298044986162956,0.007018631325751,0.016349379184369,0.013810987901843,0.003532628818901,0.170428770080170,0.120080581238121,0.020078112786306,0.001161543714910
-1,G2400290,727131600.000000000000000,2011,9477000.000000000000000,,38496600.000000000000000,6570000.000000000000000,1987200.000000000000000,680400.000000000000000,240300.000000000000000,89851500.000000000000000,3126600.000000000000000,3137400.000000000000000,4075200.000000000000000,189000.000000000000000,72454500.000000000000000,399584700.000000000000000,79092000.000000000000000,18169200.000000000000000,0.013033404132072,,0.052943098608285,0.009035503339423,0.002732930325130,0.000935731578713,0.000330476628990,0.123569791217986,0.004299909397419,0.004314762279620,0.005604487550809,0.000259925438531,0.099644273471267,0.549535599883157,0.108772607324451,0.024987498824147
-1,G2400310,1312871400.000000000000000,2011,25825500.000000000000000,,288822600.000000000000000,153616500.000000000000000,60957000.000000000000000,19005300.000000000000000,2773800.000000000000000,343771200.000000000000000,11895300.000000000000000,15259500.000000000000000,19842300.000000000000000,5282100.000000000000000,164517300.000000000000000,153960300.000000000000000,45715500.000000000000000,1627200.000000000000000,0.019671005096158,,0.219993062534533,0.117008032926911,0.046430290125903,0.014476132239609,0.002112773574015,0.261846819117242,0.009060521845475,0.011622996738294,0.015113666121450,0.004023318658629,0.125311054837511,0.117269901682678,0.034821003793669,0.001239420707923
-1,G2400330,1262946600.000000000000000,2011,8307900.000000000000000,,228183300.000000000000000,205024500.000000000000000,91467900.000000000000000,31572900.000000000000000,11405700.000000000000000,381678300.000000000000000,21500100.000000000000000,30260700.000000000000000,18416700.000000000000000,11696400.000000000000000,44631000.000000000000000,87330600.000000000000000,79574400.000000000000000,11896200.000000000000000,0.006578187866375,,0.180675334966657,0.162338217625353,0.072424202258433,0.024999394273677,0.009031023164400,0.302212540102646,0.017023760149479,0.023960395475153,0.014582326758709,0.009261199167091,0.035338786295478,0.069148291780508,0.063006939485802,0.009419400630240
-1,G2400350,965645100.000000000000000,2011,9026100.000000000000000,,74340000.000000000000000,17677800.000000000000000,5606100.000000000000000,1588500.000000000000000,225900.000000000000000,102972600.000000000000000,6138900.000000000000000,5063400.000000000000000,6447600.000000000000000,710100.000000000000000,143407800.000000000000000,439260300.000000000000000,136140300.000000000000000,17039700.000000000000000,0.009347222908292,,0.076984805287160,0.018306725731845,0.005805549057309,0.001645014301838,0.000233936878052,0.106636071575364,0.006357304562515,0.005243541338324,0.006676987228538,0.000735363333796,0.148509840727199,0.454887929323102,0.140983783793860,0.017645923952806
-1,G2400370,940725900.000000000000000,2011,16692300.000000000000000,,97931700.000000000000000,29644200.000000000000000,11457900.000000000000000,4791600.000000000000000,1421100.000000000000000,294894000.000000000000000,91475100.000000000000000,56534400.000000000000000,23425200.000000000000000,6129000.000000000000000,43757100.000000000000000,169391700.000000000000000,80554500.000000000000000,12626100.000000000000000,0.017744063387646,,0.104102268259011,0.031512048302274,0.012179849624636,0.005093513424048,0.001510641941505,0.313474945252384,0.097238845023827,0.060096570106128,0.024901195980678,0.006515181520994,0.046514186544667,0.180064883936968,0.085630150078785,0.013421656616449
-1,G2400390,845330400.000000000000000,2011,28709100.000000000000000,,36990000.000000000000000,9167400.000000000000000,2495700.000000000000000,802800.000000000000000,756000.000000000000000,15580800.000000000000000,70582500.000000000000000,13903200.000000000000000,33698700.000000000000000,7137000.000000000000000,51156000.000000000000000,138128400.000000000000000,230565600.000000000000000,205657200.000000000000000,0.033961986934340,,0.043758038277104,0.010844753719966,0.002952336743124,0.000949687838034,0.000894324869897,0.018431609699592,0.083496938001993,0.016447060226392,0.039864531075660,0.008442852640814,0.060515982863032,0.163401671109900,0.272752050559166,0.243286175440987
